Length,Time_Diff,FlowID,Protocol_UDP,Actual_App,Predicted_With_FlowID,Predicted_Without_FlowID
66,1.9073486328125e-06,44,False,firefox,firefox,spotify
197,0.0006418228149414,15,True,zoom,zoom,zoom
1239,9.5367431640625e-07,6,True,zoom,zoom,zoom
1236,0.0101768970489501,6,True,zoom,zoom,zoom
155,0.0,63,True,firefox,firefox,youtube
1466,0.0002448558807373,1,False,firefox,firefox,firefox
1307,0.0,6,True,zoom,zoom,zoom
1078,0.0010108947753906,7,True,zoom,zoom,zoom
86,0.0752081871032714,6,True,youtube,spotify,spotify
98,9.5367431640625e-07,42,False,google,google,youtube
1078,0.0,7,True,zoom,zoom,zoom
197,0.0150139331817626,16,True,zoom,zoom,zoom
4520,2.9802322387695312e-05,35,False,youtube,youtube,youtube
1078,0.0043339729309082,7,True,zoom,zoom,zoom
13966,0.0005819797515869,35,False,youtube,youtube,youtube
1211,0.0,6,True,zoom,zoom,zoom
323,4.0531158447265625e-06,16,True,zoom,zoom,google
1294,0.0022480487823486,42,False,google,google,google
1078,0.0,7,True,zoom,zoom,zoom
86,2.5987625122070312e-05,35,False,youtube,youtube,spotify
210,0.0,35,False,youtube,youtube,youtube
1294,5.507469177246094e-05,35,False,youtube,youtube,google
66,0.0065069198608398,79,False,firefox,firefox,spotify
1209,0.0038659572601318,6,True,zoom,zoom,zoom
314,0.0016300678253173,16,True,zoom,zoom,zoom
105,0.0003819465637207,44,False,firefox,firefox,firefox
1078,0.0001888275146484,7,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
382,0.0,35,False,youtube,youtube,youtube
4462,0.0,42,False,google,google,youtube
468,4.0531158447265625e-06,42,False,google,google,google
1178,0.0074748992919921,6,True,zoom,zoom,zoom
2502,0.0,42,False,google,google,google
1474,1.1920928955078125e-06,28,False,spotify,spotify,youtube
1078,0.0002598762512207,7,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
66,3.1948089599609375e-05,81,False,firefox,firefox,firefox
1228,0.0027229785919189,6,True,zoom,zoom,zoom
66,5.292892456054688e-05,44,False,firefox,firefox,firefox
339,0.0056259632110595,7,True,zoom,zoom,zoom
151,0.0003490447998046,38,True,google,google,zoom
356,0.0006320476531982,7,True,zoom,zoom,zoom
117,9.5367431640625e-07,42,False,google,google,google
6126,0.0017762184143066,35,False,youtube,youtube,youtube
1048,0.0049400329589843,6,True,zoom,zoom,zoom
521,0.0029618740081787,35,False,youtube,youtube,youtube
1045,0.0,1,False,firefox,firefox,zoom
